id,descripcion,sector,tipo_datos,etiqueta,notas
1,"Sistema que analiza automáticamente currículums y puntúa candidatos para filtrar en procesos de selección sin intervención humana",rrhh,datos_personales,alto_riesgo,"Anexo III punto 4 — sistemas de IA en empleo y gestión de trabajadores"
2,"Plataforma que evalúa la solvencia crediticia de personas físicas para conceder o denegar préstamos bancarios",banca,datos_financieros,alto_riesgo,"Anexo III punto 5b — sistemas de IA para evaluar la solvencia crediticia"
3,"Sistema de reconocimiento facial en tiempo real en cámaras de una plaza pública para identificar personas",seguridad,datos_biométricos,inaceptable,"Art. 5.1.d — identificación biométrica remota en espacios públicos en tiempo real"
4,"Chatbot de atención al cliente que responde preguntas frecuentes sobre horarios y productos de una tienda online",comercio,ninguno,riesgo_limitado,"Art. 50 — obligación de transparencia en sistemas que interactúan con humanos"
5,"Algoritmo de recomendación de películas basado en el historial de visualización del usuario",entretenimiento,datos_personales,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
6,"Sistema que establece un perfil de comportamiento de ciudadanos a partir de redes sociales para asignarles una puntuación social",administracion,datos_personales,inaceptable,"Art. 5.1.c — sistemas de puntuación social por autoridades públicas"
7,"Herramienta que analiza imágenes médicas (TAC) para detectar posibles tumores y apoyar el diagnóstico del médico",sanidad,datos_personales,alto_riesgo,"Anexo III punto 5a — sistemas de IA como productos sanitarios de clase IIa o superior"
8,"Sistema que genera descripciones de productos automáticamente para un ecommerce a partir de fichas técnicas",comercio,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
9,"Plataforma que predice qué alumnos tienen riesgo de abandono escolar y sugiere intervenciones personalizadas",educacion,datos_personales,alto_riesgo,"Anexo III punto 3 — sistemas de IA en educación que determinan el acceso o evalúan a estudiantes"
10,"Sistema que genera deepfakes de personas públicas para campañas publicitarias sin indicar que son artificiales",comunicacion,datos_biométricos,riesgo_limitado,"Art. 50.4 — obligación de etiquetar contenido generado por IA"
11,"Asistente de escritura que sugiere correcciones gramaticales y de estilo en documentos de texto",productividad,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
12,"Sistema utilizado por un juzgado para recomendar la duración de condenas penales basándose en el perfil del acusado",justicia,datos_personales,alto_riesgo,"Anexo III punto 8 — sistemas de IA en administración de justicia"
13,"Herramienta que detecta correos electrónicos de spam y los filtra a la carpeta de no deseados",productividad,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
14,"Sistema que monitoriza las expresiones faciales de empleados en una fábrica para detectar fatiga o distracción",industria,datos_biométricos,alto_riesgo,"Anexo III punto 4 — gestión y supervisión de trabajadores"
15,"Modelo de lenguaje de propósito general accesible vía API que genera texto a partir de instrucciones del usuario",tecnologia,ninguno,riesgo_limitado,"Art. 50 — obligaciones de transparencia para modelos de uso general"
16,"Sistema que analiza el comportamiento de conducción en tiempo real para ajustar la prima del seguro de automóvil",seguros,datos_personales,alto_riesgo,"Anexo III punto 5b — evaluación de riesgos y fijación de precios en seguros"
17,"Algoritmo de optimización de rutas de reparto para una empresa de logística que minimiza tiempos y costes",logistica,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
18,"Sistema que usa técnicas subliminales para influir en las decisiones de compra de usuarios vulnerables sin que sean conscientes",comercio,datos_personales,inaceptable,"Art. 5.1.a — sistemas que utilizan técnicas subliminales para distorsionar el comportamiento"
19,"Plataforma que evalúa automáticamente exámenes escritos de estudiantes universitarios y asigna calificaciones finales",educacion,datos_personales,alto_riesgo,"Anexo III punto 3 — sistemas que evalúan a estudiantes y determinan su acceso"
20,"Asistente de voz en un smartphone que interpreta comandos para poner alarmas o enviar mensajes",tecnologia,datos_personales,riesgo_limitado,"Art. 50 — obligación de informar al usuario de que interactúa con una IA"
21,"Sistema que explota vulnerabilidades psicológicas de personas mayores con deterioro cognitivo para manipular sus decisiones financieras",banca,datos_personales,inaceptable,"Art. 5.1.b — sistemas que explotan vulnerabilidades de grupos específicos"
22,"Modelo que predice el consumo eléctrico de un edificio para optimizar la gestión energética",energia,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
23,"Sistema usado por fuerzas de seguridad para predecir en qué zonas de una ciudad es más probable que se cometan delitos",seguridad,datos_personales,alto_riesgo,"Anexo III punto 6 — sistemas de IA utilizados por autoridades policiales"
24,"Herramienta de traducción automática de documentos entre idiomas para uso empresarial interno",productividad,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
25,"Sistema que analiza datos biométricos de pasajeros en un aeropuerto para identificar perfiles de riesgo",seguridad,datos_biométricos,alto_riesgo,"Anexo III punto 6 — sistemas de IA para identificación en gestión migratoria y control de fronteras"
26,"Chatbot que simula ser un humano real en una app de citas sin informar al usuario de que es una IA",entretenimiento,datos_personales,riesgo_limitado,"Art. 50.1 — obligación de informar que el usuario interactúa con un sistema de IA"
27,"Algoritmo que recomienda canciones en una plataforma de streaming basándose en los gustos del usuario",entretenimiento,datos_personales,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
28,"Sistema de IA que gestiona de forma autónoma infraestructuras críticas de suministro de agua de una ciudad",infraestructura,ninguno,alto_riesgo,"Anexo III punto 2 — sistemas de IA en gestión de infraestructuras críticas"
29,"Herramienta que genera resúmenes automáticos de artículos periodísticos para un agregador de noticias",comunicacion,ninguno,riesgo_minimo,"No figura en Anexo III ni en prácticas prohibidas"
30,"Sistema que analiza el historial médico de un paciente para recomendar tratamientos oncológicos personalizados",sanidad,datos_personales,alto_riesgo,"Anexo III punto 5a — sistemas de IA destinados a influir en tratamientos o diagnósticos clínicos"
