id,descripcion,sector,tipo_datos,etiqueta,notas,longitud,descripcion_limpia
1,"Sistema de puntuación social que clasifica a ciudadanos según su historial de pagos, multas y comportamiento en redes para restringir su acceso a transporte público y servicios estatales",administracion,datos_personales,inaceptable,Art. 5.1.c — sistema de puntuación social por autoridades públicas. Penaliza comportamientos cotidianos asignando puntuaciones que limitan derechos fundamentales sin recurso efectivo ni proporcionalidad.,186,sistema puntuación social clasifica ciudadanos historial pagos multas comportamiento redes restringir acceso transporte público servicios estatales
2,Sistema de identificación biométrica facial en tiempo real en cámaras de metro y autobús urbano para detectar personas en listas de vigilancia policial,seguridad,datos_biométricos,inaceptable,Art. 5.1.d — identificación biométrica remota en espacios públicos en tiempo real. Somete a toda la ciudadanía a vigilancia masiva sin consentimiento vulnerando la presunción de inocencia.,151,sistema identificación biométrica facial tiempo real cámaras metro autobús urbano detectar personas listas vigilancia policial
3,Plataforma que usa técnicas subliminales en anuncios online para manipular las decisiones de compra de personas diagnosticadas con trastorno obsesivo compulsivo,comercio,datos_personales,inaceptable,Art. 5.1.a — técnicas subliminales para distorsionar el comportamiento. Explota una condición psiquiátrica reconocida para beneficio comercial causando daño económico y psicológico sin posibilidad de defensa.,160,plataforma técnicas subliminales anuncios online manipular decisiones compra personas diagnosticadas trastorno obsesivo compulsivo
4,Sistema que analiza microexpresiones faciales de empleados en videollamadas para inferir su lealtad a la empresa y comunicar los resultados a dirección sin conocimiento de los trabajadores,industria,datos_biométricos,inaceptable,Art. 5.1.f — categorización biométrica que infiere características sensibles. Deduce estados internos y actitudes sin base científica sólida para decisiones laborales vulnerando la intimidad y la dignidad del trabajador.,188,sistema analiza microexpresiones faciales empleados videollamadas inferir lealtad empresa comunicar resultados dirección conocimiento trabajadores
5,Herramienta que explota el deterioro cognitivo de personas mayores en residencias para redirigir sus activos financieros hacia productos de inversión de alto riesgo sin comprensión real del contrato,banca,datos_personales,inaceptable,Art. 5.1.b — explotación de vulnerabilidades de grupos específicos. Aprovecha la reducción de la capacidad decisoria de personas institucionalizadas para causarles daño patrimonial grave e irreversible.,198,herramienta explota deterioro cognitivo personas mayores residencias redirigir activos financieros productos inversión alto riesgo comprensión real contrato
6,"Sistema policial predictivo que cataloga a jóvenes como 'potenciales delincuentes' basándose en su código postal, etnia y perfil socioeconómico antes de que cometan ningún delito",seguridad,datos_personales,inaceptable,Art. 5.1.e — perfilado predictivo basado en características protegidas. Criminaliza a personas por su origen o condición social vulnerando la presunción de inocencia y el principio de no discriminación.,178,sistema policial predictivo cataloga jóvenes potenciales delincuentes basándose código postal etnia perfil socioeconómico cometan delito
7,Aplicación que realiza reconocimiento de emociones en menores de primaria durante clases presenciales para reportar su nivel de atención a los padres en tiempo real,educacion,datos_biométricos,inaceptable,Art. 5.1.f — sistemas de categorización biométrica para inferir emociones en menores. La vigilancia emocional continua de niños en entornos educativos vulnera su intimidad y puede generar etiquetado psicológico perjudicial.,164,aplicación realiza reconocimiento emociones menores primaria clases presenciales reportar nivel atención padres tiempo real
8,Sistema instalado en estadios de fútbol que identifica biométricamente a asistentes a manifestaciones previas para confeccionar listas que se comparten con sus empleadores,administracion,datos_biométricos,inaceptable,Art. 5.1.d — identificación biométrica remota en espacios públicos. Penaliza el ejercicio del derecho de reunión y genera un efecto disuasorio sobre libertades fundamentales mediante vigilancia no consentida.,171,sistema instalado estadios fútbol identifica biométricamente asistentes manifestaciones previas confeccionar listas comparten empleadores
9,Plataforma de comercio que detecta mediante IA estados de ansiedad financiera en usuarios para mostrarles créditos predatorios en el momento de mayor vulnerabilidad emocional,comercio,datos_personales,inaceptable,Art. 5.1.b — explotación de vulnerabilidades de grupos específicos. Identifica deliberadamente el momento de máxima vulnerabilidad para inducir decisiones financieras perjudiciales mediante manipulación algorítmica.,174,plataforma comercio detecta ia ansiedad financiera usuarios mostrarles créditos predatorios momento vulnerabilidad emocional
10,Sistema de vigilancia escolar que analiza el comportamiento en redes sociales de estudiantes adolescentes para predecir 'conductas desviadas' y notificar a las autoridades educativas,educacion,datos_personales,inaceptable,Art. 5.1.e — perfilado predictivo a partir de comportamiento en redes. Estigmatiza a menores por expresiones digitales normales vulnerando su privacidad y el principio de no discriminación por ideas o conductas no tipificadas.,182,sistema vigilancia escolar analiza comportamiento redes sociales estudiantes adolescentes predecir conductas desviadas notificar autoridades educativas
11,Sistema de reconocimiento facial en tempo real desplegado en aeropuertos privados para identificar pasajeros en listas negras de compañías aéreas sin base legal ni supervisión pública,seguridad,datos_biométricos,inaceptable,Art. 5.1.d — identificación biométrica remota en espacios de acceso público. La gestión privada sin supervisión pública de listas negras biométricas vulnera el derecho a la libre circulación sin garantías legales.,183,sistema reconocimiento facial tempo real desplegado aeropuertos privados identificar pasajeros listas negras compañías aéreas base legal supervisión pública
12,Algoritmo usado por una aseguradora para inferir la orientación sexual de solicitantes a partir de su historial de navegación y usarlo para denegar cobertura de salud,seguros,datos_personales,inaceptable,Art. 5.1.f — categorización biométrica e inferencia de características sensibles. Discrimina en el acceso a servicios esenciales por orientación sexual inferida algorítmicamente vulnerando múltiples derechos fundamentales.,166,algoritmo usado aseguradora inferir orientación sexual solicitantes historial navegación usarlo denegar cobertura salud
13,Sistema de puntuación ciudadana municipal que reduce el acceso a licencias comerciales de personas que han participado en huelgas o sindicatos en los últimos cinco años,administracion,datos_personales,inaceptable,Art. 5.1.c — puntuación social que limita el ejercicio de derechos. Penaliza el ejercicio legítimo de derechos laborales fundamentales mediante restricciones administrativas discriminatorias sin motivación proporcional.,168,sistema puntuación ciudadana municipal reduce acceso licencias comerciales personas participado huelgas sindicatos años
14,Plataforma de reclutamiento que utiliza análisis de voz para inferir el origen étnico de candidatos y filtrarlos antes de la entrevista sin su conocimiento ni consentimiento,rrhh,datos_biométricos,inaceptable,Art. 5.1.f — categorización biométrica que infiere características protegidas. Introduce discriminación racial encubierta en procesos de selección a través del análisis de rasgos vocales sin base científica válida.,173,plataforma reclutamiento utiliza análisis voz inferir origen étnico candidatos filtrarlos entrevista conocimiento consentimiento
15,Sistema que analiza el movimiento ocular de usuarios en plataformas de apuestas para detectar momentos de impulsividad y mostrar ofertas especiales maximizando la pérdida económica,entretenimiento,datos_biométricos,inaceptable,Art. 5.1.a y 5.1.b — técnicas subliminales y explotación de vulnerabilidades. Explota deliberadamente estados de impulsividad clínica para maximizar el daño económico en personas con potencial ludopatía.,180,sistema analiza movimiento ocular usuarios plataformas apuestas detectar momentos impulsividad mostrar ofertas especiales maximizando pérdida económica
16,Sistema gubernamental que analiza el contenido de mensajes privados de ciudadanos en aplicaciones de mensajería para asignar puntuaciones de 'riesgo ideológico',administracion,datos_personales,inaceptable,Art. 5.1.c — puntuación social por autoridades públicas. Viola masivamente el secreto de las comunicaciones y la libertad ideológica creando un registro de disidencia política con fines de control social.,160,sistema gubernamental analiza contenido mensajes privados ciudadanos aplicaciones mensajería asignar puntuaciones riesgo ideológico
17,Herramienta de IA desplegada en centros de detención de migrantes que evalúa la 'credibilidad' de sus relatos mediante análisis facial y niega automáticamente el asilo sin intervención humana,administracion,datos_biométricos,inaceptable,Art. 5.1.d y Anexo III punto 7 — identificación biométrica y decisiones de asilo automatizadas. Vulnera el derecho internacional de refugio usando pseudociencia del análisis facial en una situación de máxima vulnerabilidad.,191,herramienta ia desplegada centros detención migrantes evalúa credibilidad relatos análisis facial niega automáticamente asilo intervención humana
18,Sistema que monitoriza en tiempo real las búsquedas médicas online de empleados para inferir enfermedades y comunicarlo a RRHH antes de las revisiones de promoción,rrhh,datos_personales,inaceptable,Art. 5.1.f — categorización que infiere datos de salud. Obtiene datos sanitarios de forma encubierta para influir en decisiones laborales vulnerando el secreto médico y el derecho a la intimidad del trabajador.,163,sistema monitoriza tiempo real búsquedas médicas online empleados inferir enfermedades comunicarlo rrhh revisiones promoción
19,Algoritmo de una plataforma educativa online que detecta dificultades de aprendizaje en menores y vende esa información a compañías farmacéuticas sin consentimiento parental,educacion,datos_personales,inaceptable,Art. 5.1.b — explotación de vulnerabilidades de grupos específicos (menores). Comercializa datos de salud neurológica de niños sin consentimiento causando riesgo de estigmatización y discriminación futura.,173,algoritmo plataforma educativa online detecta dificultades aprendizaje menores vende información compañías farmacéuticas consentimiento parental
20,Sistema de reconocimiento facial en centros comerciales que identifica a personas que han devuelto productos anteriormente y activa protocolos de seguimiento y vigilancia reforzada,comercio,datos_biométricos,inaceptable,Art. 5.1.d — identificación biométrica en espacios de acceso público. Somete a vigilancia discriminatoria a consumidores por ejercer un derecho legal como la devolución de productos sin base proporcional.,180,sistema reconocimiento facial centros comerciales identifica personas devuelto productos anteriormente activa protocolos seguimiento vigilancia reforzada
21,Plataforma que usa IA para identificar trabajadores que buscan empleo activamente mediante análisis de su actividad en LinkedIn y los penaliza con peores condiciones laborales internas,rrhh,datos_personales,inaceptable,Art. 5.1.b — explotación de comportamiento digital para penalizar el ejercicio de derechos laborales. Coacciona a trabajadores para que no busquen alternativas de empleo mediante represalias algorítmicas encubiertas.,184,plataforma ia identificar trabajadores buscan empleo activamente análisis actividad linkedin penaliza peores condiciones laborales internas
22,Sistema que analiza patrones de escritura y pausas en teclado de periodistas para inferir sus fuentes confidenciales y reportarlo a gobiernos autoritarios clientes de la empresa,comunicacion,datos_personales,inaceptable,Art. 5.1.a — técnicas de manipulación y vigilancia que atentan contra libertades fundamentales. Expone a fuentes periodísticas a represalias vulnerando la libertad de prensa y poniendo vidas en riesgo directo.,177,sistema analiza patrones escritura pausas teclado periodistas inferir fuentes confidenciales reportarlo gobiernos autoritarios clientes empresa
23,Herramienta que realiza perfilado psicológico de activistas políticos a partir de sus publicaciones en redes sociales para predecir y prevenir su participación en protestas futuras,administracion,datos_personales,inaceptable,Art. 5.1.c y 5.1.e — puntuación social y perfilado predictivo que inhibe el ejercicio de derechos. Suprime la libertad de expresión y reunión mediante vigilancia anticipatoria de disidencia política legítima.,180,herramienta realiza perfilado psicológico activistas políticos publicaciones redes sociales predecir prevenir participación protestas futuras
24,Sistema de reconocimiento de emociones en entrevistas de trabajo que puntúa automáticamente a candidatos por su 'estabilidad emocional' usando análisis facial sin validación científica,rrhh,datos_biométricos,inaceptable,Art. 5.1.f — categorización biométrica para inferir características psicológicas. Introduce discriminación por expresión emocional sin base científica sólida en decisiones de acceso al empleo vulnerando derechos fundamentales.,184,sistema reconocimiento emociones entrevistas trabajo puntúa automáticamente candidatos estabilidad emocional usando análisis facial validación científica
25,Plataforma de crédito que usa algoritmos para detectar usuarios en situación de desesperación financiera extrema y ofrecerles préstamos con intereses del 400% sin advertencia clara,banca,datos_financieros,inaceptable,Art. 5.1.b — explotación de vulnerabilidades financieras. Aprovecha deliberadamente la desesperación económica para inducir contratos leoninos causando daño patrimonial grave a personas en situación crítica.,180,plataforma crédito algoritmos detectar usuarios situación desesperación financiera extrema ofrecerles préstamos intereses 400% advertencia clara
26,Sistema de identificación biométrica en manifestaciones políticas que cruza datos con registros de partidos y sindicatos para generar informes de 'riesgo político' para el Ministerio del Interior,administracion,datos_biométricos,inaceptable,"Art. 5.1.d — identificación biométrica en espacios públicos con fines políticos. Crea un aparato de vigilancia de la disidencia que vulnera la libertad de asociación, ideológica y el secreto del voto.",195,sistema identificación biométrica manifestaciones políticas cruza datos registros partidos sindicatos generar informes riesgo político ministerio interior
27,Herramienta de IA que analiza el tono y contenido de correos internos de empleados para detectar 'deslealtad' y recomendar despidos sin que los trabajadores sepan que están siendo monitorizados,industria,datos_personales,inaceptable,Art. 5.1.a — vigilancia encubierta que distorsiona el comportamiento en el ámbito laboral. Viola el secreto de las comunicaciones y la libertad de expresión en el trabajo creando un ambiente de autocensura generalizada.,193,herramienta ia analiza tono contenido correos internos empleados detectar deslealtad recomendar despidos trabajadores sepan monitorizados
28,Algoritmo que puntúa automáticamente currículums y decide qué candidatos pasan a entrevista sin intervención humana en ninguna fase del proceso de selección de una multinacional,rrhh,datos_personales,alto_riesgo,Anexo III punto 4 — sistemas de IA en empleo sin supervisión humana. La automatización total del filtrado de candidatos puede perpetuar sesgos históricos de contratación sin posibilidad de corrección ni recurso efectivo del candidato.,177,algoritmo puntúa automáticamente currículums decide candidatos pasan entrevista intervención humana fase proceso selección multinacional
29,Plataforma bancaria que evalúa automáticamente la solvencia y decide la concesión de hipotecas sin que ningún gestor humano revise los casos denegados antes de comunicar la resolución,banca,datos_financieros,alto_riesgo,Anexo III punto 5b — evaluación de solvencia crediticia sin supervisión. Las decisiones automatizadas sobre acceso a vivienda pueden perpetuar exclusión financiera de grupos vulnerables sin mecanismo de revisión accesible.,183,plataforma bancaria evalúa automáticamente solvencia decide concesión hipotecas gestor humano revise casos denegados comunicar resolución
30,Sistema de análisis de TAC pulmonar que emite diagnósticos de cáncer de pulmón definitivos sin revisión posterior por parte de ningún médico radiólogo antes de informar al paciente,sanidad,datos_personales,alto_riesgo,Anexo III punto 5a — sistemas de IA como productos sanitarios de alta criticidad. Diagnósticos oncológicos sin validación clínica pueden provocar tratamientos erróneos o retrasos con consecuencias potencialmente letales.,180,sistema análisis tac pulmonar emite diagnósticos cáncer pulmón definitivos revisión posterior médico radiólogo informar paciente
31,Sistema judicial que recomienda la duración exacta de condenas penales y el juez firma la sentencia siguiendo la recomendación sin motivación adicional en el 95% de los casos,justicia,datos_personales,alto_riesgo,Anexo III punto 8 — sistemas de IA en administración de justicia. La dependencia casi total del juez en la recomendación algorítmica vacía de contenido la motivación judicial y vulnera el derecho a la tutela judicial efectiva.,174,sistema judicial recomienda duración exacta condenas penales juez firma sentencia siguiendo recomendación motivación adicional 95% casos
32,Plataforma educativa que evalúa exámenes escritos universitarios y asigna calificaciones finales determinantes del paso de curso sin que ningún docente revise los casos suspendidos,educacion,datos_personales,alto_riesgo,Anexo III punto 3 — sistemas de IA en educación que determinan el acceso. La automatización de calificaciones sin revisión docente vulnera el derecho a una evaluación justa y elimina la posibilidad de impugnación efectiva.,180,plataforma educativa evalúa exámenes escritos universitarios asigna calificaciones finales determinantes paso curso docente revise casos suspendidos
