text_final,etiqueta
herramienta extraer dato historial médico paciente psiquiátrico vender él él empresa recurso humano filtrar candidato antecedente depresión,inaceptable
sistema evalúa automáticamente riesgo fuga preso régimen abierto determín supervisión penitenciario restricción movimiento aplicable interno,alto_riesgo
plataforma telemedicina chatbot triaje advertir paciente interactuar ia recomendación consecuencia salud,riesgo_limitado
algoritmo analizar patrón compra supermercado inferir persona consumidora alcohol tabaco vender información aseguradora consentimiento cliente,inaceptable
sistema análisis voz llamada telefónico atención cliente infierar emocional interlocutor clasificar cliente conflictivo degradar automáticamente prioridad atención,inaceptable
sistema analizar patrón escritura pausa teclado periodista inferir fuente confidencial reportar él gobierno autoritario client empresa,inaceptable
sistema monitorizar tiempo trabajadora embarazado pasar baño jornada laboral generar alerta automático supervisor superar umbral predefinido,inaceptable
sistema optimización ruta reparto milla flota mensajería urbano minimizar tiempo emisión co₂ tiempo real,riesgo_minimo
sistema ia instalado aeronave comercial tomar control sistema vuelo situación emergencia requerir confirmación piloto actuar,alto_riesgo
algoritmo selección persona programa reinserción laboral post-carcelario determinar automáticamente acceder recurso disponible revisión equipo reinserción,alto_riesgo
sistema evaluación continuo empleado público puntuar automáticamente rendimiento determinar promoción superior revisar caso desfavorable,alto_riesgo
herramienta analizar registro llamada correo sospechoso identificar automáticamente contacto cómplice potencial investigar orden judicial,alto_riesgo
sistema predicción demanda producto gestión inventario cadena supermercado reducir desperdicio alimentario,riesgo_minimo
sistema analizar historial búsqueda adolescente inferir orientación sexual vender información tercero consentimiento parental,inaceptable
sistema vigilancia escolar analizar comportamiento red social estudiante adolescente predecir conducta desviado notificar autoridad educativo,inaceptable
sistema evalúa automáticamente capacidad conducción persona mayor revocir permiso conducir médico psicólogo validir evaluación realizado,alto_riesgo
sistema ia gestionar autónomamente distribución cama uci hospitalaria situación alto demanda asignar desasignar paciente supervisión equipo médico guardia,alto_riesgo
plataforma analizar registro llamada persona mayor deterioro cognitivo detectar oportunidad venta programar llamado comercial agresivo momento confusión,inaceptable
herramienta realizar perfilado psicológico activista político publicación red social predecir prevenir participación protesta futuro,inaceptable
sistema optimización programación mantenimiento preventivo maquinaria industrial basar él dato sensor vibración temperatura,riesgo_minimo
plataforma asignar automáticamente subsidio vivienda social priorizar candidato score compuesto dato empleo familia conducta cívico revisión trabajador social,alto_riesgo
algoritmo plataforma educativo online detectar dificultad aprendizaje menor vender información compañía farmacéutico consentimiento parental,inaceptable
sistema generación descripción puesto trabajo portal empleo producir anuncio ficha puesto interno rrhh revisar publicar,riesgo_minimo
herramienta análisis micromovimiento facial reunión corporativo virtual generar informe sinceridad percibido participante compartir dirección conocimiento,inaceptable
sistema ia utilizado cárcel determinar automáticamente privilegio restricción recluso basar él análisis comportamiento revisión equipo penitenciario,alto_riesgo
sistema análisis imagen satélite detectar zona deforestación ilegal reserva natural protegido alertar automáticamente guarda forestal,riesgo_minimo
sistema policial predicción zona alto criminalidad asignar 100% despliegue patrulla basar él únicamente mapa algorítmico criterio policial adicional,alto_riesgo
sistema analizar tiempo real emocional estudiante examen cámara aplicar automáticamente descuento nota detectar ansiedad excesivo indicador trampa,inaceptable
sistema análisis vídeo entrevista trabajo puntuar candidato acento inferir origen nacional filtrarlo seleccionador humano ver,inaceptable
herramienta asistencia redacción informe anual corporativo sugerir mejora estructura claridad texto modificar contenido dato financiero reportado,riesgo_minimo
asistente ia integrado plataforma tesorería corporativo sugerir operación cobertura divisa identificar él sistema automatizado advertir recomendación asesoramiento financiero regulado,riesgo_limitado
herramienta análisis sentimiento red social empresa monitorizar percepción público marca producto forma agregado,riesgo_minimo
plataforma vender compañía seguro score salud mental inferido publicación red social usen exclusión cobertura psiquiátrico,inaceptable
algoritmo recomendación ruta senderismo personalizada sugerir itinerario condición físico declarado preferencia usuario aplicación actividad outdoor,riesgo_minimo
sistema predicción riesgo cardiovascular generar recomendación medicación preventivo enviar directamente paciente médico cabecero validar,alto_riesgo
sistema reconocimiento marcha postura cámara seguridad centro comercial identificar persona orden alejamiento etiquetar sospechosa habitual,inaceptable
plataforma telemedicina analizar síntoma prescribir automáticamente medicamento prescripción paciente supervisión médico colegiado,alto_riesgo
herramienta evaluación riesgo sísmico controlar autónomamente alerta evacuación edificio validación experto ingeniería estructural,alto_riesgo
plataforma ia diseño dieta personalizada generar plan nutricional advertir necesidad supervisión dietético indicar plan generar automáticamente,riesgo_limitado
